CompteurTemps	Cx0	Cy0	
1	-2.73262	-0.0400997	
2	-1.47446	-0.0477671	
3	-1.26948	-0.0506676	
4	-1.17966	-0.0497153	
5	-1.13113	-0.047631	
6	-1.10214	-0.0454944	
7	-1.08374	-0.0435816	
8	-1.07155	-0.0419329	
9	-1.06319	-0.0405225	
10	-1.05728	-0.0393101	
11	-1.35841	-0.0429433	
12	-1.2057	-0.0575637	
13	-1.17498	-0.059095	
14	-1.15973	-0.0602507	
15	-1.15064	-0.0611686	
16	-1.14477	-0.0619141	
17	-1.1408	-0.0625242	
18	-1.13803	-0.0630191	
19	-1.13604	-0.0634094	
20	-1.1346	-0.0637046	
21	-1.12666	-0.0741641	
22	-1.12312	-0.0699564	
23	-1.12181	-0.0692113	
24	-1.12099	-0.0690777	
25	-1.12041	-0.0690588	
26	-1.11997	-0.069055	
27	-1.11963	-0.0690388	
28	-1.11936	-0.0690044	
29	-1.11915	-0.0689543	
30	-1.11898	-0.0688936	
31	-1.12412	-0.060728	
32	-1.12272	-0.0617567	
33	-1.12228	-0.0618162	
34	-1.12203	-0.061758	
35	-1.12187	-0.0616713	
36	-1.12175	-0.0615831	
37	-1.12167	-0.0615032	
38	-1.1216	-0.0614345	
39	-1.12155	-0.0613774	
40	-1.12152	-0.0613307	
