CompteurTemps	Cx0	Cy0	
1	-3.20851	-0.0584954	
2	-1.89294	-0.0548688	
3	-1.64339	-0.0493522	
4	-1.53782	-0.0467676	
5	-1.47969	-0.0459215	
6	-1.44355	-0.0455464	
7	-1.41887	-0.04528	
8	-1.40134	-0.0449423	
9	-1.38858	-0.0445158	
10	-1.37908	-0.0440217	
11	-2.32853	0.015333	
12	-1.80386	-0.00761541	
13	-1.74522	-0.00881266	
14	-1.71982	-0.00732168	
15	-1.70528	-0.00539187	
16	-1.69585	-0.0035724	
17	-1.68927	-0.00204312	
18	-1.68446	-0.000856599	
19	-1.68081	-8.63766e-06	
20	-1.67796	0.000534347	
21	-1.60112	0.00123376	
22	-1.60667	0.00104229	
23	-1.60438	0.000726766	
24	-1.60288	0.000314799	
25	-1.60174	-0.000102045	
26	-1.60082	-0.000498181	
27	-1.60006	-0.000851637	
28	-1.59942	-0.00114822	
29	-1.59889	-0.00138077	
30	-1.59844	-0.00154854	
31	-1.59586	0.00554132	
32	-1.59731	0.00481703	
33	-1.59698	0.00493847	
34	-1.59687	0.00509982	
35	-1.59676	0.0052518	
36	-1.59667	0.00539567	
37	-1.59658	0.00552651	
38	-1.59651	0.00563985	
39	-1.59645	0.00573251	
40	-1.59639	0.00580336	
