CompteurTemps	Cx0	Cy0	
1	-3.76111	0.00865381	
2	-1.93356	-0.00925098	
3	-1.64313	-0.00849974	
4	-1.53546	-0.00703928	
5	-1.48053	-0.00620083	
6	-1.44644	-0.00580601	
7	-1.42338	-0.00557431	
8	-1.40703	-0.0053957	
9	-1.39512	-0.00521455	
10	-1.38621	-0.0050212	
11	-2.08124	0.00130045	
12	-1.71256	-0.00123431	
13	-1.66726	-0.00125224	
14	-1.64748	-0.0013874	
15	-1.63607	-0.00153892	
16	-1.62859	-0.00169126	
17	-1.62331	-0.00184128	
18	-1.6194	-0.0019864	
19	-1.6164	-0.00212433	
20	-1.61404	-0.00225265	
21	-1.58122	0.00121951	
22	-1.57871	0.00167659	
23	-1.57571	0.00150398	
24	-1.57403	0.00120818	
25	-1.57283	0.000906253	
26	-1.57189	0.000631732	
27	-1.57115	0.000397547	
28	-1.57054	0.00020762	
29	-1.57003	6.11444e-05	
30	-1.56961	-4.52091e-05	
31	-1.55474	0.000190953	
32	-1.55518	0.00140715	
33	-1.55439	0.00182127	
34	-1.55392	0.00205634	
35	-1.55359	0.00218443	
36	-1.55334	0.00227464	
37	-1.55316	0.00234596	
38	-1.55301	0.00240506	
39	-1.55289	0.00245434	
40	-1.5528	0.00249461	
