CompteurTemps	Cx0	Cy0	
1	-5.52141	-0.00934164	
2	-2.18343	-0.00286479	
3	-1.86928	-0.00260356	
4	-1.76679	-0.00245144	
5	-1.71198	-0.0016539	
6	-1.67751	-0.00115769	
7	-1.65414	-0.000584645	
8	-1.63749	-8.30404e-05	
9	-1.62531	0.000377191	
10	-1.61604	0.000808419	
11	-1.80225	-0.00840722	
12	-1.66523	-0.00131623	
13	-1.64774	-0.000205592	
14	-1.63913	0.000259288	
15	-1.63358	0.000498688	
16	-1.62963	0.000641023	
17	-1.62664	0.000732026	
18	-1.62431	0.000791868	
19	-1.62245	0.000830508	
20	-1.62094	0.000853606	
21	-1.60316	0.00248154	
22	-1.59561	0.0023409	
23	-1.59311	0.00210915	
24	-1.5917	0.00223612	
25	-1.59072	0.00240456	
26	-1.58999	0.00257007	
27	-1.58941	0.00271834	
28	-1.58895	0.00284443	
29	-1.58857	0.00294784	
30	-1.58826	0.00302946	
31	-1.59559	-0.00385725	
32	-1.59158	-0.00205262	
33	-1.59069	-0.00180859	
34	-1.59032	-0.00180274	
35	-1.59006	-0.00188278	
36	-1.58988	-0.00198455	
37	-1.58974	-0.00208692	
38	-1.58964	-0.0021806	
39	-1.58955	-0.00226131	
40	-1.58948	-0.00232787	
