CompteurTemps	Cx0	Cy0	
1	-1.88935	0.0645584	
2	-1.09593	0.0469535	
3	-0.976407	0.043039	
4	-0.926144	0.0445072	
5	-0.899247	0.0459536	
6	-0.883013	0.0468855	
7	-0.872474	0.047391	
8	-0.865306	0.047591	
9	-0.860274	0.0475869	
10	-0.856658	0.047452	
11	-1.09471	-0.00302127	
12	-1.0004	0.0195317	
13	-0.982516	0.0197884	
14	-0.973881	0.0169835	
15	-0.968778	0.0138416	
16	-0.965457	0.0109916	
17	-0.963165	0.00858456	
18	-0.961521	0.00662777	
19	-0.960309	0.00507981	
20	-0.959395	0.00388252	
21	-0.96625	0.00335599	
22	-0.96237	-0.00045078	
23	-0.961282	-0.00117567	
24	-0.96026	-0.00111839	
25	-0.959623	-0.000964035	
26	-0.95918	-0.000775855	
27	-0.958857	-0.00058815	
28	-0.958616	-0.000416315	
29	-0.958432	-0.000266836	
30	-0.958289	-0.000141224	
31	-0.950333	-0.0013305	
32	-0.950202	-0.000898183	
33	-0.949928	-0.000815819	
34	-0.949799	-0.000754955	
35	-0.949718	-0.00070561	
36	-0.94966	-0.000666039	
37	-0.949618	-0.000634783	
38	-0.949585	-0.000610209	
39	-0.949559	-0.00059093	
40	-0.949539	-0.000575766	
