CompteurTemps	Cx0	Cy0	
1	-7.38209	-0.445031	
2	-2.64958	-0.0595099	
3	-2.24447	-0.0511474	
4	-2.12048	-0.0523164	
5	-2.05735	-0.0475945	
6	-2.01906	-0.0385584	
7	-1.99356	-0.0268357	
8	-1.97531	-0.013505	
9	-1.96153	0.000587636	
10	-1.95062	0.0147304	
11	-2.11823	-0.0809946	
12	-1.97443	-0.0383664	
13	-1.95294	-0.0263278	
14	-1.94209	-0.0164304	
15	-1.93494	-0.00857453	
16	-1.92962	-0.0023223	
17	-1.92544	0.00252015	
18	-1.92209	0.00609418	
19	-1.91937	0.00854479	
20	-1.91715	0.0100303	
21	-1.95849	0.0231627	
22	-1.92736	0.0240004	
23	-1.92261	0.0247757	
24	-1.92015	0.0248943	
25	-1.91857	0.0246543	
26	-1.91745	0.0242253	
27	-1.91661	0.0237132	
28	-1.91597	0.0231916	
29	-1.91546	0.0227102	
30	-1.91505	0.0223028	
31	-1.90055	0.00189685	
32	-1.89973	0.00492978	
33	-1.89884	0.00465156	
34	-1.89838	0.00456745	
35	-1.89807	0.00453231	
36	-1.89785	0.00455085	
37	-1.89767	0.00461857	
38	-1.89752	0.00472531	
39	-1.8974	0.0048582	
40	-1.89729	0.00500501	
