CompteurTemps	Cx0	Cy0	
1	-6.68922	0.00903657	
2	-2.46156	-0.00328075	
3	-2.05258	-0.000724226	
4	-1.92374	0.00274169	
5	-1.8592	0.00505458	
6	-1.8204	0.00677005	
7	-1.79501	0.00794899	
8	-1.77759	0.0088583	
9	-1.76492	0.00955283	
10	-1.75534	0.0100595	
11	-2.24756	-0.0302469	
12	-1.92477	-0.00606768	
13	-1.87485	-0.00202832	
14	-1.85254	0.000187965	
15	-1.83988	0.00134746	
16	-1.8318	0.00216267	
17	-1.82626	0.00281462	
18	-1.82226	0.00336344	
19	-1.81925	0.00383	
20	-1.81689	0.00422397	
21	-1.81864	-0.00688581	
22	-1.79929	0.00105979	
23	-1.79286	0.00336362	
24	-1.78977	0.00385864	
25	-1.78783	0.00405568	
26	-1.78646	0.00410949	
27	-1.78544	0.00410574	
28	-1.78465	0.0040806	
29	-1.78402	0.00405043	
30	-1.78351	0.00402224	
31	-1.7708	0.011675	
32	-1.76776	0.0101389	
33	-1.76756	0.00995818	
34	-1.76652	0.0101058	
35	-1.76603	0.0101515	
36	-1.76569	0.0101828	
37	-1.76545	0.010209	
38	-1.76526	0.0102315	
39	-1.76511	0.0102506	
40	-1.76499	0.0102664	
